,support,itemsets
0,0.38,frozenset({1})
1,0.35,frozenset({2})
2,0.33,frozenset({3})
3,0.38,frozenset({4})
4,0.35,frozenset({5})
5,0.33,frozenset({6})
6,0.38,frozenset({7})
7,0.26,frozenset({8})
8,0.3,frozenset({9})
9,0.32,frozenset({10})
10,0.33,frozenset({11})
11,0.25,frozenset({12})
12,0.3,frozenset({13})
13,0.44,frozenset({14})
14,0.29,frozenset({15})
15,0.28,frozenset({16})
16,0.37,frozenset({17})
17,0.36,frozenset({18})
18,0.33,frozenset({19})
19,0.34,frozenset({20})
20,0.31,frozenset({21})
21,0.38,frozenset({22})
22,0.35,frozenset({23})
23,0.41,frozenset({24})
24,0.32,frozenset({25})
25,0.27,frozenset({26})
26,0.31,frozenset({27})
27,0.27,frozenset({28})
28,0.32,frozenset({29})
29,0.32,frozenset({30})
30,0.33,frozenset({31})
31,0.24,frozenset({32})
32,0.31,frozenset({33})
33,0.35,frozenset({34})
34,0.27,frozenset({35})
35,0.25,frozenset({36})
36,0.35,frozenset({37})
37,0.26,frozenset({38})
38,0.36,frozenset({39})
39,0.48,frozenset({40})
40,0.27,frozenset({41})
41,0.35,frozenset({42})
42,0.36,frozenset({43})
43,0.34,frozenset({44})
44,0.32,frozenset({45})
45,0.34,frozenset({46})
46,0.4,frozenset({47})
47,0.31,frozenset({48})
48,0.46,frozenset({49})
49,0.32,frozenset({50})
50,0.25,frozenset({51})
51,0.31,frozenset({52})
52,0.28,frozenset({53})
53,0.32,frozenset({54})
54,0.33,frozenset({55})
55,0.26,frozenset({56})
56,0.33,frozenset({57})
57,0.4,frozenset({58})
58,0.36,frozenset({59})
59,0.31,frozenset({60})
60,0.41,frozenset({61})
61,0.34,frozenset({62})
62,0.37,frozenset({63})
63,0.35,frozenset({64})
64,0.3,frozenset({65})
65,0.26,frozenset({66})
66,0.34,frozenset({67})
67,0.33,frozenset({68})
68,0.39,frozenset({69})
69,0.41,frozenset({70})
70,0.33,frozenset({71})
71,0.31,frozenset({72})
72,0.3,frozenset({73})
73,0.34,frozenset({74})
74,0.29,frozenset({75})
75,0.42,frozenset({76})
76,0.39,frozenset({77})
77,0.31,frozenset({78})
78,0.27,frozenset({79})
79,0.25,frozenset({80})
80,0.32,frozenset({81})
81,0.28,frozenset({82})
82,0.29,frozenset({83})
83,0.31,frozenset({84})
84,0.31,frozenset({85})
85,0.29,frozenset({86})
86,0.25,frozenset({87})
87,0.37,frozenset({88})
88,0.3,frozenset({89})
89,0.37,frozenset({90})
90,0.25,frozenset({91})
91,0.26,frozenset({92})
92,0.38,frozenset({93})
93,0.36,frozenset({94})
94,0.29,frozenset({95})
95,0.3,frozenset({96})
96,0.43,frozenset({97})
97,0.35,frozenset({98})
98,0.36,frozenset({99})
99,0.36,frozenset({100})
100,0.15,"frozenset({1, 2})"
101,0.13,"frozenset({1, 3})"
102,0.15,"frozenset({1, 4})"
103,0.09,"frozenset({1, 5})"
104,0.12,"frozenset({1, 6})"
105,0.17,"frozenset({1, 7})"
106,0.09,"frozenset({8, 1})"
107,0.13,"frozenset({1, 9})"
108,0.11,"frozenset({1, 10})"
109,0.14,"frozenset({1, 11})"
110,0.1,"frozenset({1, 12})"
111,0.1,"frozenset({1, 13})"
112,0.16,"frozenset({1, 14})"
113,0.12,"frozenset({1, 15})"
114,0.12,"frozenset({16, 1})"
115,0.11,"frozenset({1, 17})"
116,0.1,"frozenset({1, 18})"
117,0.13,"frozenset({1, 19})"
118,0.13,"frozenset({1, 20})"
119,0.08,"frozenset({1, 21})"
120,0.12,"frozenset({1, 22})"
121,0.11,"frozenset({1, 23})"
122,0.14,"frozenset({24, 1})"
123,0.13,"frozenset({1, 25})"
124,0.12,"frozenset({1, 26})"
125,0.12,"frozenset({1, 27})"
126,0.09,"frozenset({1, 28})"
127,0.14,"frozenset({1, 29})"
128,0.11,"frozenset({1, 30})"
129,0.18,"frozenset({1, 31})"
130,0.07,"frozenset({32, 1})"
131,0.11,"frozenset({1, 33})"
132,0.15,"frozenset({1, 34})"
133,0.12,"frozenset({1, 35})"
134,0.09,"frozenset({1, 36})"
135,0.14,"frozenset({1, 37})"
136,0.09,"frozenset({1, 38})"
137,0.11,"frozenset({1, 39})"
138,0.16,"frozenset({40, 1})"
139,0.08,"frozenset({1, 41})"
140,0.14,"frozenset({1, 42})"
141,0.12,"frozenset({1, 43})"
142,0.18,"frozenset({1, 44})"
143,0.07,"frozenset({1, 45})"
144,0.12,"frozenset({1, 46})"
145,0.16,"frozenset({1, 47})"
146,0.11,"frozenset({48, 1})"
147,0.15,"frozenset({1, 49})"
148,0.15,"frozenset({1, 50})"
149,0.08,"frozenset({1, 51})"
150,0.12,"frozenset({1, 52})"
151,0.11,"frozenset({1, 53})"
152,0.08,"frozenset({1, 54})"
153,0.13,"frozenset({1, 55})"
154,0.09,"frozenset({56, 1})"
155,0.1,"frozenset({1, 57})"
156,0.16,"frozenset({1, 58})"
